time,mains,microwave,dishwasher
1,341.769004,15.952454,0.0
2,341.282232,15.292175,0.0
3,342.117396,14.658569,0.0
4,343.427122,13.173767,0.0
5,342.978608,12.070923,0.0
6,344.79789800000003,10.253418,0.0
7,344.432412,9.382874,0.33299999999997
8,344.868716,9.997498,0.0
9,345.17722200000003,9.456909,0.0
10,345.48003,5.909607,0.33299999999997
11,345.811328,2.7774658,0.0
12,346.345312,3.52063,0.0
13,346.69289000000003,0.0,0.0
14,346.5016,0.0,0.0
15,345.918776,0.029724121,0.5
16,345.01849200000004,0.0,0.0
17,344.696148,2.5118408,0.5
18,346.15239399999996,3.111145,0.0
19,344.863832,4.3671265,0.0
20,343.67783399999996,5.765259,0.0
21,343.30665,5.0579224,0.0
22,343.462124,5.2076416,0.0
23,344.990002,6.592224,0.0
24,345.865866,2.6560059,0.66700000000003
25,341.00710000000004,2.892273,0.0
26,340.604984,6.2938843,0.0
27,340.14995799999997,9.019104,0.0
28,340.173564,12.227905,0.0
29,340.11251400000003,14.666016,0.0
30,340.714874,16.214722,0.5
31,342.58218999999997,23.00238,0.5
32,342.368922,28.38269,0.33299999999997
33,342.703476,29.912354,0.5
34,342.7979,37.78723,1.0
35,343.375026,41.01178,0.66700000000003
36,345.22362,45.080505,0.66700000000003
37,345.844702,47.900208,0.66700000000003
38,345.708764,53.145874,1.0
39,346.491018,56.413086,0.5
40,345.43119,55.927246,1.0
41,345.042098,60.66455,0.5
42,344.011574,60.20215,0.5
43,342.482882,58.33252,0.5
44,339.48899,60.313538,1.0
45,338.093794,61.44049,0.66700000000003
46,337.790172,61.31006,0.0
47,337.941576,64.13208,1.0
48,337.827616,63.24298,1.0
49,337.550042,63.835083,1.0
50,337.45887400000004,63.76703,0.5
51,337.73888999999997,59.139465,1.0
52,336.86872400000004,57.99121,0.5
53,336.829652,56.951538,0.66700000000003
54,339.115364,53.71924,1.0
55,341.652602,55.29895,0.5
56,339.156064,50.335938,1.0
57,337.207348,42.615295,0.5
58,336.97128799999996,38.575745,0.5
59,336.472306,35.887024,0.0
60,337.650164,33.381348,0.0
61,338.89721199999997,34.1308,0.5
62,338.64487199999996,29.297607,0.0
63,338.56021599999997,24.685059,0.0
64,338.443814,23.042236,0.5
65,338.030302,21.003113,0.5
66,339.63388199999997,16.34729,0.0
67,340.63835800000004,15.176086,0.0
68,340.53986399999997,14.304871,0.0
69,340.831276,12.994202,0.0
70,341.55410800000004,13.645447,0.0
71,339.76086599999996,15.444214,0.0
72,339.63144,11.790894,0.0
73,340.442184,11.994385,0.0
74,340.89151200000003,12.7276,0.0
75,340.57486600000004,14.642151,0.0
76,340.66033600000003,13.910217,0.0
77,341.068964,10.733032,0.0
78,341.268394,7.2373657,0.0
79,340.62859000000003,11.701843,0.0
80,340.3152,10.238403,0.0
81,340.30217600000003,10.850952,0.0
82,340.69371,14.841187,0.0
83,340.31113000000005,14.742065,0.0
84,340.362412,11.207886,0.0
85,340.53498,10.563843,0.0
86,340.495908,11.28064,0.0
87,340.957446,11.083496,0.0
88,340.432416,10.969788,0.0
89,340.29485,9.092041,0.0
90,341.34409600000004,9.805542,0.33299999999997
91,340.927328,8.833435,0.0
92,340.406368,10.169617,0.0
93,340.157284,8.518616,0.0
94,339.841452,7.6534424,0.0
95,340.20368199999996,2.8677368,0.0
96,339.494688,0.0,0.0
97,339.558994,0.0,0.0
98,340.180076,0.05102539,0.0
99,339.036406,0.0,0.0
100,339.388868,0.0,0.0
101,338.968844,0.0,0.0
102,339.389682,0.0,0.0
103,338.61719600000004,0.0,0.0
104,337.572834,0.0,1.0
105,337.83657,0.0,0.5
106,338.046582,0.0,0.0
107,338.10763199999997,0.0,0.0
108,336.845118,0.0,0.0
109,336.767788,0.0,0.0
110,336.404744,0.0,0.0
111,336.456026,0.0,0.0
112,336.415326,0.0,0.0
113,336.316018,0.0,0.0
114,336.242758,0.0,0.0
115,336.83128,0.0,0.5
116,336.19229,0.0,0.0
117,335.88622599999997,0.0,0.0
118,335.77145199999995,0.0,0.0
119,336.392534,0.0,0.0
120,337.188626,0.0,0.0
121,337.418988,0.0,0.0
122,337.737262,0.0,0.0
123,337.50038800000004,0.0,0.0
124,337.741332,0.0,0.0
125,336.83372199999997,0.0,0.0
126,337.61760400000003,0.0,0.0
127,337.349798,0.0,0.0
128,337.55980999999997,0.0,0.0
129,337.32130800000004,0.0,0.0
130,337.192696,0.0,0.33299999999997
131,615.799662,0.0,0.0
132,1932.905386,0.0,0.0
133,1926.221632,0.0,0.0
134,1922.753992,0.0,0.0
135,1922.4235079999999,0.0,0.0
136,1923.4336819999999,0.0,0.0
137,1921.7250960000001,0.0,0.0
138,1922.907838,0.0,0.0
139,1921.410892,0.0,0.5
140,1919.4108939999999,0.0,0.0
141,1918.2916440000001,0.0,0.0
142,1917.799988,0.0,0.0
143,1915.2236779999998,0.0,0.0
144,1915.08367,0.0,0.0
145,1917.5924180000002,0.0,0.0
146,1916.493518,0.0,0.0
147,1919.847198,0.29504395,0.0
148,1917.86755,2.1707153,0.0
149,1916.15001,1.7139893,0.0
150,1916.2322239999999,3.098999,0.0
151,1916.708414,4.107361,0.0
152,1914.894822,5.3828735,0.0
153,1914.723882,4.7948,0.0
154,1915.732428,3.741211,0.0
155,1915.548464,2.1954956,0.0
156,1916.747486,1.2567749,0.0
157,1207.88861,2.3153076,0.0
158,330.442194,2.3181763,0.0
159,330.18985399999997,2.319336,0.0
160,330.641624,2.310791,0.0
161,330.261486,2.329712,0.0
162,330.68151,2.3391113,0.0
163,329.63633400000003,2.3813477,0.0
164,329.068976,2.368164,0.0
165,329.8553,2.3676147,0.0
166,329.618426,2.3845215,0.0
167,330.09868600000004,2.4068604,0.0
168,329.35224800000003,2.3909912,0.0
169,329.33840999999995,2.4075928,0.0
170,330.0588,2.4019775,0.0
171,329.638776,2.40802,0.0
172,329.29771,2.4060059,0.0
173,329.59400600000004,2.4196167,0.0
174,328.21020599999997,2.4020996,0.0
175,249.97503799999998,2.409729,0.33299999999997
